0;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;CONTEXT;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
26629;;детектива;ДЕТЕКТИВ;S m inan gen sg;;;, как из _детектива_ , и это;а;в;и;т;к;е;S;ДЕТЕКТИВ;S m inan gen sg;В
26630;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26631;;и;И;CONJ;;;из детектива , _и_ это всё наводит;и;;;;;;CONJ;И;CONJ;И
26632;;это;ЭТО;SPRO n - nom sg;;;детектива , и _это_ всё наводит ужас;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
26633;;всё;ВСЕ;SPRO n - nom sg;;;, и это _всё_ наводит ужас ,;ё;с;в;;;;S;ВСЕ;S n - nom sg;Е
26634;;наводит;НАВОДИТЬ;V ipf praes sg indic - 3p;;;и это всё _наводит_ ужас , и;т;и;д;о;в;а;V;НАВОДИТЬ;V ipf praes sg indic - 3p;Ь
26635;;ужас;УЖАС;S m inan acc sg;;;это всё наводит _ужас_ , и ты;с;а;ж;у;;;S;УЖАС;S m inan nom sg;С
26636;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26637;;и;И;CONJ;;;наводит ужас , _и_ ты просто напрочь;и;;;;;;CONJ;И;CONJ;И
26638;;ты;ТЫ;SPRO sg 2p - nom;;;ужас , и _ты_ просто напрочь забываешь;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
26639;;просто;ПРОСТО;PART;;;, и ты _просто_ напрочь забываешь ,;о;т;с;о;р;п;PART;ПРОСТО;PART;О
26640;;напрочь;НАПРОЧЬ;ADV -;;;и ты просто _напрочь_ забываешь , что;ь;ч;о;р;п;а;ADV;НАПРОЧЬ;ADV -;Ь
26641;;забываешь;ЗАБЫВАТЬ;V ipf praes sg indic - 2p;;;ты просто напрочь _забываешь_ , что это;ь;ш;е;а;в;ы;V;ЗАБЫВАТЬ;V ipf praes sg indic - 2p;Ь
26642;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26643;;что;ЧТО;CONJ;;;напрочь забываешь , _что_ это всё не;о;т;ч;;;;CONJ;ЧТО;CONJ;О
26644;;это;ЭТО;SPRO n - nom sg;;;забываешь , что _это_ всё не всерьёз;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
26645;;всё;ВСЕ;SPRO n - nom sg;;;, что это _всё_ не всерьёз ,;ё;с;в;;;;S;ВСЕ;S n - nom sg;Е
26646;;не;НЕ;PART;;;что это всё _не_ всерьёз , и;е;н;;;;;PART;НЕ;PART;Е
26647;;всерьёз;ВСЕРЬЕЗ;ADV -;;;это всё не _всерьёз_ , и начинаешь;з;ё;ь;р;е;с;ADV;ВСЕРЬЕЗ;ADV -;З
26648;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26649;;и;И;CONJ;;;не всерьёз , _и_ начинаешь действительно;и;;;;;;CONJ;И;CONJ;И
26650;;начинаешь;НАЧИНАТЬ;V ipf praes sg indic - 2p;;;всерьёз , и _начинаешь_ действительно усмехается;ь;ш;е;а;н;и;V;НАЧИНАТЬ;V ipf praes sg indic - 2p;Ь
26651;;действительно;ДЕЙСТВИТЕЛЬНО;ADV -;;;, и начинаешь _действительно_ усмехается;о;н;ь;л;е;т;ADV;ДЕЙСТВИТЕЛЬНО;ADV -;О
26652;"<span class=""note"">";;;;;;;;;;;;;;;;
26653;<note>;усмехается;;;;;;;;;;;;;;;
26654;</span>;;;;;;;;;;;;;;;;
26655;;бояться;БОЯТЬСЯ;V ipf - - inf - -;;;усмехается _бояться_ за свою жизнь;я;с;ь;т;я;о;V;БОЯТЬСЯ;V ipf - - inf - -;Я
26656;;за;ЗА;PR;;;усмехается бояться _за_ свою жизнь и;а;з;;;;;PR;ЗА;PR;А
26657;;свою;СВОЙ;APRO - acc sg plen f -;;;бояться за _свою_ жизнь и думать;ю;о;в;с;;;APRO;СВОЙ;A - acc sg plen f -;Й
26658;;жизнь;ЖИЗНЬ;S f inan acc sg;;;бояться за свою _жизнь_ и думать о;ь;н;з;и;ж;;S;ЖИЗНЬ;S f inan acc sg;Ь
26659;;и;И;CONJ;;;за свою жизнь _и_ думать о том;и;;;;;;CONJ;И;CONJ;И
26660;;думать;ДУМАТЬ;V ipf - - inf - -;;;свою жизнь и _думать_ о том ,;ь;т;а;м;у;д;V;ДУМАТЬ;V ipf - - inf - -;Ь
26661;;о;О;PR;;;жизнь и думать _о_ том , как бы;о;;;;;;PR;О;PR;О
26662;;том;ТО;SPRO n - loc sg;;;и думать о _том_ , как бы выжить;м;о;т;;;;SPRO;ТО;S n - loc sg;О
26663;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26664;;как бы;как бы;PART;Раздельно;;о том , _как бы_ выжить в этот;ы;б;;к;а;к;PART;как бы;ADV -;ы
26665;;выжить;ВЫЖИТЬ;V pf - - inf - -;;;том , как бы _выжить_ в этот час;ь;т;и;ж;ы;в;V;ВЫЖИТЬ;V pf - - inf - -;Ь
26666;;в;В;PR;;;, как бы выжить _в_ этот час и;в;;;;;;PR;В;PR;В
26667;;этот;ЭТОТ;APRO - acc sg plen m inan;;;как бы выжить в _этот_ час и как бы;т;о;т;э;;;APRO;ЭТОТ;A - acc sg plen m inan;Т
26668;;час;ЧАС;S m inan acc sg;;;выжить в этот _час_ и как бы кто;с;а;ч;;;;S;ЧАС;S m inan acc sg;С
26669;;и;И;CONJ;;;в этот час _и_ как бы кто сзади;и;;;;;;CONJ;И;CONJ;И
26670;;как бы;как бы;PART;Раздельно;;этот час и _как бы_ кто сзади не;ы;б;;к;а;к;PART;как бы;ADV -;ы
26671;;кто;КТО;SPRO m - nom sg;;;час и как бы _кто_ сзади не подошёл;о;т;к;;;;S;КТО;S m - nom sg;О
26672;;сзади;СЗАДИ;ADV -;;;и как бы кто _сзади_ не подошёл ,;и;д;а;з;с;;ADV;СЗАДИ;ADV -;И
26673;;не;НЕ;PART;;;как бы кто сзади _не_ подошёл , не;е;н;;;;;PART;НЕ;PART;Е
26674;;подошёл;ПОДОЙТИ;V pf praet sg indic m -;;;кто сзади не _подошёл_ , не пырнул;л;ё;ш;о;д;о;V;ПОДОЙТИ;V pf praet sg indic m -;И
26675;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26676;;не;НЕ;PART;;;не подошёл , _не_ пырнул ножом и;е;н;;;;;PART;НЕ;PART;Е
26677;;пырнул;ПЫРНУТЬ;V pf praet sg indic m -;;;подошёл , не _пырнул_ ножом и так;л;у;н;р;ы;п;V;ПЫРНУТЬ;V pf praet sg indic m -;Ь
26678;;ножом;НОЖ;S m inan ins sg;;;, не пырнул _ножом_ и так далее;м;о;ж;о;н;;S;НОЖ;S m inan ins sg;Ж
26679;;и;И;CONJ;;;не пырнул ножом _и_ так далее .;и;;;;;;CONJ;И;CONJ;И
26680;;так;ТАК;ADV -;;;пырнул ножом и _так_ далее .;к;а;т;;;;ADV;ТАК;ADV -;К
26681;;далее;ДАЛЕЕ;ADV -;;;ножом и так _далее_ .;е;е;л;а;д;;ADV;ДАЛЕЕ;ADV -;Е
26682;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26683;;;;;;;;;;;;;;;;;
26684;# sent = 1971;;;;;;;;;;;;;;;;
26685;# speaker = Надя;;;;;;;;;;;;;;;;
26686;# sent = 1972;;;;;;;;;;;;;;;;
26687;;В;В;PR;;;_В_ общем , потом;в;;;;;;PR;В;PR;В
26688;;общем;ОБЩИЙ;A - loc sg plen m -;;;В _общем_ , потом резко;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26689;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26690;;потом;ПОТОМ;ADV -;;;В общем , _потом_ резко закрывается дверь;м;о;т;о;п;;ADV;ПОТОМ;ADV -;М
26691;;резко;РЕЗКО;ADV -;;;общем , потом _резко_ закрывается дверь ,;о;к;з;е;р;;ADV;РЕЗКО;ADV -;О
26692;;закрывается;ЗАКРЫВАТЬСЯ;V ipf praes sg indic - 3p;;;, потом резко _закрывается_ дверь , кто-то;я;с;т;е;а;в;V;ЗАКРЫВАТЬСЯ;V ipf praes sg indic - 3p;Я
26693;;дверь;ДВЕРЬ;S f inan nom sg;;;потом резко закрывается _дверь_ , кто-то ,;ь;р;е;в;д;;S;ДВЕРЬ;S f inan acc sg;Ь
26694;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26695;;кто-то;КТО-ТО;SPRO m - nom sg;;;закрывается дверь , _кто-то_ , видимо ,;о;т;-;о;т;к;S;КТО-ТО;S m - nom sg;О
26696;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26697;;видимо;ВИДИМО;PARENTH;;;, кто-то , _видимо_ , её закрыл;о;м;и;д;и;в;ADV;ВИДИМО;ADV -;О
26698;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26699;;её;ОНА;SPRO sg 3p f acc;;;, видимо , _её_ закрыл , мы;ё;е;;;;;SPRO;ОНА;SPRO sg 3p f acc;А
26700;;закрыл;ЗАКРЫТЬ;V pf praet sg indic m -;;;видимо , её _закрыл_ , мы оказались;л;ы;р;к;а;з;V;ЗАКРЫТЬ;V pf praet sg indic m -;Ь
26701;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26702;;мы;МЫ;SPRO pl 1p - nom;;;её закрыл , _мы_ оказались внутри этого;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
26703;;оказались;ОКАЗАТЬСЯ;V pf praet pl indic - -;;;закрыл , мы _оказались_ внутри этого кабинета;ь;с;и;л;а;з;V;ОКАЗАТЬСЯ;V pf praet pl indic - -;Я
26704;;внутри;ВНУТРИ;PR;;;, мы оказались _внутри_ этого кабинета (;и;р;т;у;н;в;PR;ВНУТРИ;PR;И
26705;;этого;ЭТОТ;APRO - gen sg plen m -;;;мы оказались внутри _этого_ кабинета ( она;о;г;о;т;э;;APRO;ЭТОТ;A - acc sg plen m anim;Т
26706;;кабинета;КАБИНЕТ;S m inan gen sg;;;оказались внутри этого _кабинета_ ( она как бы;а;т;е;н;и;б;S;КАБИНЕТ;S m inan gen sg;Т
26707;;(;(;PUNCT;;;;;;;;;;PUNCT;;;
26708;;она;ОНА;SPRO sg 3p f nom;;;этого кабинета ( _она_ как бы вроде бы;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
26709;;как бы;как бы;PART;;;кабинета ( она _как бы_ вроде бы сама;ы;б;;к;а;к;PART;как бы;ADV -;ы
26710;;вроде;ВРОДЕ;PART;;;( она как бы _вроде_ бы сама закрылась;е;д;о;р;в;;PART;ВРОДЕ;PART;Е
26711;;бы;БЫ;PART;;;она как бы вроде _бы_ сама закрылась ,;ы;б;;;;;PART;БЫ;PART;Ы
26712;;сама;САМ;A - nom sg plen f -;;;как бы вроде бы _сама_ закрылась , непонятно;а;м;а;с;;;A;САМ;A - nom sg plen f -;М
26713;;закрылась;ЗАКРЫТЬСЯ;V pf praet sg indic f -;;;вроде бы сама _закрылась_ , непонятно );ь;с;а;л;ы;р;V;ЗАКРЫТЬСЯ;V pf praet sg indic f -;Я
26714;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26715;;непонятно;НЕПОНЯТНО;ADV -;;;сама закрылась , _непонятно_ ) , там;о;н;т;я;н;о;ADV;НЕПОНЯТНО;ADV -;О
26716;;););PUNCT;;;;;;;;;;PUNCT;;;
26717;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26718;;там;ТАМ;ADV -;;;непонятно ) , _там_ ещё вентилятор шумел;м;а;т;;;;ADV;ТАМ;ADV -;М
26719;;ещё;ЕЩЕ;ADV -;;;) , там _ещё_ вентилятор шумел от;ё;щ;е;;;;ADV;ЕЩЕ;ADV -;Е
26720;;вентилятор;ВЕНТИЛЯТОР;S m inan nom sg;;;, там ещё _вентилятор_ шумел от …;р;о;т;я;л;и;S;ВЕНТИЛЯТОР;S m inan nom sg;Р
26721;;шумел;ШУМЕТЬ;V ipf praet sg indic m -;;;там ещё вентилятор _шумел_ от … сам;л;е;м;у;ш;;V;ШУМЕТЬ;V ipf praet sg indic m -;Ь
26722;;от;ОТ;PR;;;ещё вентилятор шумел _от_ … сам по;т;о;;;;;PR;ОТ;PR;Т
26723;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
26724;;сам;САМ;A - nom sg plen m -;;;шумел от … _сам_ по себе ,;м;а;с;;;;A;САМ;A - nom sg plen m -;М
26725;;по;ПО;PR;;;от … сам _по_ себе , в;о;п;;;;;PR;ПО;PR;О
26726;;себе;СЕБЯ;SPRO - - - dat;;;… сам по _себе_ , в общем;е;б;е;с;;;SPRO;СЕБЯ;SPRO - - - dat;Я
26727;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26728;;в;В;PR;;;по себе , _в_ общем .;в;;;;;;PR;В;PR;В
26729;;общем;ОБЩИЙ;A - loc sg plen m -;;;себе , в _общем_ .;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26730;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26731;;;;;;;;;;;;;;;;;
26732;# sent = 1973;;;;;;;;;;;;;;;;
26733;;И;И;CONJ;;;. _И_ тут резко начинается;и;;;;;;CONJ;И;CONJ;И
26734;;тут;ТУТ;ADV -;;;И _тут_ резко начинается толчки;т;у;т;;;;ADV;ТУТ;ADV -;Т
26735;;резко;РЕЗКО;ADV -;;;И тут _резко_ начинается толчки в;о;к;з;е;р;;ADV;РЕЗКО;ADV -;О
26736;;начинается;НАЧИНАТЬСЯ;V ipf praes sg indic - 3p;;;И тут резко _начинается_ толчки в дверь;я;с;т;е;а;н;V;НАЧИНАТЬСЯ;V ipf praes sg indic - 3p;Я
26737;;толчки;ТОЛЧОК;S m inan nom pl;;;тут резко начинается _толчки_ в дверь ,;и;к;ч;л;о;т;S;ТОЛЧОК;S m inan acc pl;К
26738;;в;В;PR;;;резко начинается толчки _в_ дверь , там;в;;;;;;PR;В;PR;В
26739;;дверь;ДВЕРЬ;S f inan acc sg;;;начинается толчки в _дверь_ , там ,;ь;р;е;в;д;;S;ДВЕРЬ;S f inan acc sg;Ь
26740;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26741;;там;ТАМ;ADV -;;;в дверь , _там_ , бум -;м;а;т;;;;ADV;ТАМ;ADV -;М
26742;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26743;;бум;БУМ;INTJ;;;, там , _бум_ - бум -;м;у;б;;;;INTJ;БУМ;INTJ;М
26744;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
26745;;бум;БУМ;INTJ;;;, бум - _бум_ - бум ,;м;у;б;;;;INTJ;БУМ;INTJ;М
26746;;-;-;PUNCT;;;;;;;;;;PUNCT;;;
26747;;бум;БУМ;INTJ;;;- бум - _бум_ , и от;м;у;б;;;;INTJ;БУМ;INTJ;М
26748;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26749;;и;И;CONJ;;;- бум , _и_ от этого становится;и;;;;;;CONJ;И;CONJ;И
26750;;от;ОТ;PR;;;бум , и _от_ этого становится очень;т;о;;;;;PR;ОТ;PR;Т
26751;;этого;ЭТО;SPRO n - gen sg;;;, и от _этого_ становится очень страшно;о;г;о;т;э;;SPRO;ЭТО;S n - gen sg;О
26752;;становится;СТАНОВИТЬСЯ;V ipf praes sg indic - 3p;;;и от этого _становится_ очень страшно ,;я;с;т;и;в;о;V;СТАНОВИТЬСЯ;V ipf praes sg indic - 3p;Я
26753;;очень;ОЧЕНЬ;ADV -;;;от этого становится _очень_ страшно , сердце;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь
26754;;страшно;СТРАШНО;ADV -;;;этого становится очень _страшно_ , сердце просто;о;н;ш;а;р;т;ADV;СТРАШНО;ADV -;О
26755;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26756;;сердце;СЕРДЦЕ;S n inan nom sg;;;очень страшно , _сердце_ просто у …;е;ц;д;р;е;с;S;СЕРДЦЕ;S n inan nom sg;Е
26757;;просто;ПРОСТО;PART;;;страшно , сердце _просто_ у … уходит;о;т;с;о;р;п;PART;ПРОСТО;PART;О
26758;;у;У;NONLEX;Слитно;;, сердце просто _у_ … уходит в;у;;;;;;PR;У;PR;У
26759;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
26760;;уходит;УХОДИТЬ;V ipf praes sg indic - 3p;;;просто у … _уходит_ в пятки ,;т;и;д;о;х;у;V;УХОДИТЬ;V ipf praes sg indic - 3p;Ь
26761;;в;В;PR;;;у … уходит _в_ пятки , и;в;;;;;;PR;В;PR;В
26762;;пятки;ПЯТКА;S f inan acc pl;;;… уходит в _пятки_ , и ты;и;к;т;я;п;;S;ПЯТКА;S f inan acc pl;А
26763;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26764;;и;И;CONJ;;;в пятки , _и_ ты , ну;и;;;;;;CONJ;И;CONJ;И
26765;;ты;ТЫ;SPRO sg 2p - nom;;;пятки , и _ты_ , ну ,;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
26766;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26767;;ну;НУ;PART;;;и ты , _ну_ , не знаю;у;н;;;;;PART;НУ;PART;У
26768;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26769;;не;НЕ;PART;;;, ну , _не_ знаю , все;е;н;;;;;PART;НЕ;PART;Е
26770;;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;ну , не _знаю_ , все так;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p;Ь
26771;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26772;;все;ВСЕ;APRO - - nom pl;;;не знаю , _все_ так сплочаются ,;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
26773;;так;ТАК;ADV -;;;знаю , все _так_ сплочаются , все;к;а;т;;;;ADV;ТАК;ADV -;К
26774;;сплочаются;СПЛОЧАТЬСЯ;V ipf praes pl indic - 3p;;;, все так _сплочаются_ , все стараются;я;с;т;ю;а;ч;V;СПЛОЧАТЬСЯ;V ipf praes pl indic - 3p;Я
26775;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26776;;все;ВСЕ;APRO - - nom pl;;;так сплочаются , _все_ стараются друг с;е;с;в;;;;S;ВСЕ;S - - nom pl;Е
26777;;стараются;СТАРАТЬСЯ;V ipf praes pl indic - 3p;;;сплочаются , все _стараются_ друг с другом;я;с;т;ю;а;р;V;СТАРАТЬСЯ;V ipf praes pl indic - 3p;Я
26778;;друг;ДРУГ;S m anim nom sg;;;, все стараются _друг_ с другом вот;г;у;р;д;;;S;ДРУГ;S - - nom -;Г
26779;;с;С;PR;;;все стараются друг _с_ другом вот в;с;;;;;;PR;С;PR;С
26780;;другом;ДРУГ;S m anim ins sg;;;стараются друг с _другом_ вот в одном;м;о;г;у;р;д;S;ДРУГ;S m anim ins sg;Г
26781;;вот;ВОТ;PART;;;друг с другом _вот_ в одном кружочке;т;о;в;;;;PART;ВОТ;PART;Т
26782;;в;В;PR;;;с другом вот _в_ одном кружочке держаться;в;;;;;;PR;В;PR;В
26783;;одном;ОДИН;ANUM - loc sg plen m -;;;другом вот в _одном_ кружочке держаться .;м;о;н;д;о;;ANUM;ОДИН;A - loc sg plen m -;Н
26784;;кружочке;КРУЖОЧЕК;S m inan loc sg;;;вот в одном _кружочке_ держаться .;е;к;ч;о;ж;у;S;КРУЖОЧЕК;S m inan loc sg;К
26785;;держаться;ДЕРЖАТЬСЯ;V ipf - - inf - -;;;в одном кружочке _держаться_ .;я;с;ь;т;а;ж;V;ДЕРЖАТЬСЯ;V ipf - - inf - -;Я
26786;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26787;;;;;;;;;;;;;;;;;
26788;# sent = 1974;;;;;;;;;;;;;;;;
26789;# speaker = Надя;;;;;;;;;;;;;;;;
26790;# sent = 1975;;;;;;;;;;;;;;;;
26791;;В;В;PR;;;_В_ общем , ээ;в;;;;;;PR;В;PR;В
26792;;общем;ОБЩИЙ;A - loc sg plen m -;;;В _общем_ , ээ ,;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
26793;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26794;;ээ;ЭЭ;NONLEX;;;В общем , _ээ_ , нам нужно;э;э;;;;;NONLEX;ЭЭ;NONLEX;Э
26795;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26796;;нам;МЫ;SPRO pl 1p - dat;;;, ээ , _нам_ нужно было найти;м;а;н;;;;SPRO;МЫ;SPRO pl 1p - dat;Ы
26797;;нужно;НУЖНО;PRAEDIC;;;ээ , нам _нужно_ было найти ,;о;н;ж;у;н;;PRAEDIC;НУЖНО;ADV -;О
26798;;было;БЫТЬ;V ipf praet sg indic n -;;;, нам нужно _было_ найти , ээ;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
26799;;найти;НАЙТИ;V pf - - inf - -;;;нам нужно было _найти_ , ээ ,;и;т;й;а;н;;V;НАЙТИ;V pf - - inf - -;И
26800;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26801;;ээ;ЭЭ;NONLEX;;;было найти , _ээ_ , диск ,;э;э;;;;;NONLEX;ЭЭ;NONLEX;Э
26802;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26803;;диск;ДИСК;S m inan acc sg;;;, ээ , _диск_ , диск лежал;к;с;и;д;;;S;ДИСК;S m inan nom sg;К
26804;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26805;;диск;ДИСК;S m inan nom sg;;;, диск , _диск_ лежал в сейфе;к;с;и;д;;;S;ДИСК;S m inan nom sg;К
26806;;лежал;ЛЕЖАТЬ;V ipf praet sg indic m -;;;диск , диск _лежал_ в сейфе .;л;а;ж;е;л;;V;ЛЕЖАТЬ;V ipf praet sg indic m -;Ь
26807;;в;В;PR;;;, диск лежал _в_ сейфе .;в;;;;;;PR;В;PR;В
26808;;сейфе;СЕЙФ;S m inan loc sg;;;диск лежал в _сейфе_ .;е;ф;й;е;с;;S;СЕЙФ;S m inan loc sg;Ф
26809;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26810;;;;;;;;;;;;;;;;;
26811;# sent = 1976;;;;;;;;;;;;;;;;
26812;;Чтобы;ЧТОБЫ;CONJ;;;. _Чтобы_ найти код от;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ;Ы
26813;;найти;НАЙТИ;V pf - - inf - -;;;Чтобы _найти_ код от сейфа;и;т;й;а;н;;V;НАЙТИ;V pf - - inf - -;И
26814;;код;КОД;S m inan acc sg;;;Чтобы найти _код_ от сейфа ,;д;о;к;;;;S;КОД;S m inan acc sg;Д
26815;;от;ОТ;PR;;;Чтобы найти код _от_ сейфа , нужно;т;о;;;;;PR;ОТ;PR;Т
26816;;сейфа;СЕЙФ;S m inan gen sg;;;найти код от _сейфа_ , нужно было;а;ф;й;е;с;;S;СЕЙФ;S m inan gen sg;Ф
26817;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26818;;нужно;НУЖНО;PRAEDIC;;;от сейфа , _нужно_ было прослушать аудиозапись;о;н;ж;у;н;;PRAEDIC;НУЖНО;ADV -;О
26819;;было;БЫТЬ;V ipf praet sg indic n -;;;сейфа , нужно _было_ прослушать аудиозапись ,;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
26820;;прослушать;ПРОСЛУШАТЬ;V pf - - inf - -;;;, нужно было _прослушать_ аудиозапись , которую;ь;т;а;ш;у;л;V;ПРОСЛУШАТЬ;V pf - - inf - -;Ь
26821;;аудиозапись;АУДИОЗАПИСЬ;S f inan acc sg;;;нужно было прослушать _аудиозапись_ , которую не;ь;с;и;п;а;з;S;АУДИОЗАПИСЬ;S f inan acc sg;Ь
26822;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26823;;которую;КОТОРЫЙ;APRO - acc sg plen f -;;;прослушать аудиозапись , _которую_ не сразу говорится;ю;у;р;о;т;о;APRO;КОТОРЫЙ;A - acc sg plen f -;Й
26824;;не;НЕ;PART;;;аудиозапись , которую _не_ сразу говорится ,;е;н;;;;;PART;НЕ;PART;Е
26825;;сразу;СРАЗУ;ADV -;;;, которую не _сразу_ говорится , а;у;з;а;р;с;;ADV;СРАЗУ;ADV -;У
26826;;говорится;ГОВОРИТЬСЯ;V ipf praes sg indic - 3p;;;которую не сразу _говорится_ , а нужно;я;с;т;и;р;о;V;ГОВОРИТЬСЯ;V ipf praes sg indic - 3p;Я
26827;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26828;;а;А;CONJ;;;сразу говорится , _а_ нужно было из;а;;;;;;CONJ;А;CONJ;А
26829;;нужно;НУЖНО;PRAEDIC;;;говорится , а _нужно_ было из чего-то;о;н;ж;у;н;;PRAEDIC;НУЖНО;ADV -;О
26830;;было;БЫТЬ;V ipf praet sg indic n -;;;, а нужно _было_ из чего-то там;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
26831;;из;ИЗ;PR;;;а нужно было _из_ чего-то там услышать;з;и;;;;;PR;ИЗ;PR;З
26832;;чего-то;ЧТО-ТО;SPRO n inan gen sg;;;нужно было из _чего-то_ там услышать .;о;т;-;о;г;е;SPRO;ЧТО-ТО;S n - gen sg;О
26833;;там;ТАМ;ADV -;;;было из чего-то _там_ услышать .;м;а;т;;;;ADV;ТАМ;ADV -;М
26834;;услышать;УСЛЫШАТЬ;V pf - - inf - -;;;из чего-то там _услышать_ .;ь;т;а;ш;ы;л;V;УСЛЫШАТЬ;V pf - - inf - -;Ь
26835;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
26836;;;;;;;;;;;;;;;;;
26837;# sent = 1977;;;;;;;;;;;;;;;;
26838;;Мы;МЫ;SPRO pl 1p - nom;;;. _Мы_ услышали какую-то дату;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
26839;;услышали;УСЛЫШАТЬ;V pf praet pl indic - -;;;Мы _услышали_ какую-то дату рождения;и;л;а;ш;ы;л;V;УСЛЫШАТЬ;V pf praet pl indic - -;Ь
26840;;какую-то;КАКОЙ-ТО;APRO - acc sg plen f inan;;;Мы услышали _какую-то_ дату рождения ,;о;т;-;ю;у;к;APRO;КАКОЙ-ТО;A - acc sg plen f inan;О
26841;;дату;ДАТА;S f inan acc sg;;;Мы услышали какую-то _дату_ рождения , предположили;у;т;а;д;;;S;ДАТА;S f inan acc sg;А
26842;;рождения;РОЖДЕНИЕ;S n inan gen sg;;;услышали какую-то дату _рождения_ , предположили ,;я;и;н;е;д;ж;S;РОЖДЕНИЕ;S n inan gen sg;Е
26843;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26844;;предположили;ПРЕДПОЛОЖИТЬ;V pf praet pl indic - -;;;дату рождения , _предположили_ , что это;и;л;и;ж;о;л;V;ПРЕДПОЛОЖИТЬ;V pf praet pl indic - -;Ь
26845;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
26846;;что;ЧТО;CONJ;;;, предположили , _что_ это код от;о;т;ч;;;;CONJ;ЧТО;CONJ;О
26847;;это;ЭТО;SPRO n - nom sg;;;предположили , что _это_ код от сейфа;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
26848;;код;КОД;S m inan nom sg;;;, что это _код_ от сейфа ,;д;о;к;;;;S;КОД;S m inan nom sg;Д
26849;;от;ОТ;PR;;;что это код _от_ сейфа , и;т;о;;;;;PR;ОТ;PR;Т
26850;;сейфа;СЕЙФ;S m inan gen sg;;;это код от _сейфа_ , и в;а;ф;й;е;с;;S;СЕЙФ;S m inan gen sg;Ф
26851;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
